,code,name,dialCode
207,SS,جنوب السودان,+211
208,ST,ساو تومي وبرينسيبي,+239
209,SV,السلفادور,+503
210,SX,سينت مارتن,+1
211,SY,سوريا,+963
212,SZ,سوازيلاند,+268
213,TC,جزر الترك وجايكوس,+1
214,TD,تشاد,+235
215,TF,المقاطعات الجنوبية الفرنسية,+262
216,TG,توجو,+228
217,TH,تايلند,+66
218,TJ,طاجكستان,+992
219,TK,توكيلو,+690
220,TL,تيمور الشرقية,+670
221,TM,تركمانستان,+993
222,TN,تونس,+216
223,TO,تونجا,+676
224,TR,تركيا,+90
225,TT,ترينيداد وتوباغو,+1
226,TV,توفالو,+688
227,TW,تايوان,+886
228,TZ,تانزانيا,+255
229,UA,أوكرانيا,+380
230,UG,أوغندا,+256
231,UM,جزر الولايات المتحدة البعيدة الصغيرة,
232,US,الولايات المتحدة الأمريكية,+1
233,UY,أورجواي,+598
234,UZ,أوزبكستان,+998
235,VA,الفاتيكان,+379
236,VC,سانت فنسنت وغرنادين,+1
237,VE,فنزويلا,+58
238,VG,جزر فرجين البريطانية,+1
239,VI,جزر فرجين الأمريكية,+1
240,VN,فيتنام,+84
241,VU,فانواتو,+678
242,WF,جزر والس وفوتونا,+681
243,WS,ساموا,+685
244,XK,كوسوفو,+383
245,YE,اليمن,+967
246,YT,مايوت,+262
247,ZA,جمهورية جنوب افريقيا,+27
248,ZM,زامبيا,+260
249,ZW,زيمبابوي,+263
