code,name,dialCode,clean_text
MC,موناكو,+377,موناكو
MD,مولدافيا,+373,مولدافيا
ME,الجبل الأسود,+382,الجبل الاسود
MF,سانت مارتين,+590,سانت مارتين
MG,مدغشقر,+261,مدغشقر
MH,جزر المارشال,+692,جزر المارشال
MK,مقدونيا,+389,مقدونيا
ML,مالي,+223,مالي
MM,ميانمار,+95,ميانمار
MN,منغوليا,+976,منغوليا
MO,ماكاو الصينية,+853,ماكاو الصينيه
MP,جزر ماريانا الشمالية,+1,جزر ماريانا الشماليه
MQ,مارتينيك,+596,مارتينيك
MR,موريتانيا,+222,موريتانيا
MS,مونتسرات,+1,مونتسرات
MT,مالطا,+356,مالطا
MU,موريشيوس,+230,موريشيوس
MV,جزر الملديف,+960,جزر الملديف
MW,ملاوي,+265,ملاوي
MX,المكسيك,+52,المكسيك
MY,ماليزيا,+60,ماليزيا
MZ,موزمبيق,+258,موزمبيق
NA,ناميبيا,+264,ناميبيا
NC,كاليدونيا الجديدة,+687,كاليدونيا الجديده
NE,النيجر,+227,النيجر
NF,جزيرة نورفوك,+672,جزيره نورفوك
NG,نيجيريا,+234,نيجيريا
NI,نيكاراجوا,+505,نيكاراجوا
NL,هولندا,+31,هولندا
NO,النرويج,+47,النرويج
NP,نيبال,+977,نيبال
NR,نورو,+674,نورو
NU,نيوي,+683,نيوي
NZ,نيوزيلاندا,+64,نيوزيلاندا
OM,عمان,+968,عمان
PA,بنما,+507,بنما
PE,بيرو,+51,بيرو
PF,بولينيزيا الفرنسية,+689,بولينيزيا الفرنسيه
PG,بابوا غينيا الجديدة,+675,بابوا غينيا الجديده
PH,الفيلبين,+63,الفيلبين
PK,باكستان,+92,باكستان
PL,بولندا,+48,بولندا
PM,سانت بيير وميكولون,+508,سانت بير وميكولون
PN,بتكايرن,+872,بتكايرن
PR,بورتوريكو,+1,بورتوريكو
PS,فلسطين,+970,فلسطين
PT,البرتغال,+351,البرتغال
PT,برتغال,+351,برتغال
PW,بالاو,+680,بالاو
PY,باراجواي,+595,باراجواي
QA,قطر,+974,قطر
RE,روينيون,+262,روينيون
RO,رومانيا,+40,رومانيا
RS,صربيا,+381,صربيا
RU,روسيا,+7,روسيا
RW,رواندا,+250,رواندا
SA,المملكة العربية السعودية,+966,الملكه العربيه السعوديه
SA,السعودية,+966,السعوديه
SB,جزر سليمان,+677,جزر سليمان
SC,سيشل,+248,سيشل
SD,السودان,+249,السودان
SE,السويد,+46,السويد
SG,سنغافورة,+65,سنغافوره
SH,سانت هيلنا,+290,سانت هيلنا
SI,سلوفينيا,+386,سلوفينيا
SJ,سفالبارد وجان مايان,+47,سفالبارد وجان مايان
SK,سلوفاكيا,+421,سلوفاكيا
SL,سيراليون,+232,سيراليون
SM,سان مارينو,+378,سان مارينو
SN,السنغال,+221,السنغال
SO,الصومال,+252,الصومال
SR,سورينام,+597,سورينام
SS,جنوب السودان,+211,جنوب السودان
ST,ساو تومي وبرينسيبي,+239,ساو تومي وبرينسيبي
SV,السلفادور,+503,السلفادور
SX,سينت مارتن,+1,سينت مارتن
SY,سوريا,+963,سوريا
SZ,سوازيلاند,+268,سوازيلاند
TC,جزر الترك وجايكوس,+1,جزر الترك وجايكوس
TD,تشاد,+235,تشاد
TF,المقاطعات الجنوبية الفرنسية,+262,المقاطعات الجنوبيه الفرنسيه
TG,توجو,+228,توجو
TH,تايلند,+66,تايلند
TJ,طاجكستان,+992,طاجكستان
TK,توكيلو,+690,توكيلو
TL,تيمور الشرقية,+670,تيمور الشرقيه
TM,تركمانستان,+993,تركمانستان
TN,تونس,+216,تونس
TO,تونجا,+676,تونجا
TR,تركيا,+90,تركيا
TT,ترينيداد وتوباغو,+1,ترينيداد وتوباغو
TV,توفالو,+688,توفالو
TW,تايوان,+886,تايوان
TZ,تانزانيا,+255,تانزانيا
UA,أوكرانيا,+380,اوكرانيا
UG,أوغندا,+256,اوغندا
UM,جزر الولايات المتحدة البعيدة الصغيرة,,جزر الولايات المتحده البعيده الصغيره
US,الولايات المتحدة الأمريكية,+1,الولايات المتحده الامريكيه
US,أمريكا,+1,امريكا
UY,أورجواي,+598,اورجواي
UZ,أوزبكستان,+998,اوزبكستان
VA,الفاتيكان,+379,الفاتيكان
VC,سانت فنسنت وغرنادين,+1,سانت فنسنت وغرنادين
VE,فنزويلا,+58,فنزويلا
VG,جزر فرجين البريطانية,+1,جزر فرجين البريطانيه
VI,جزر فرجين الأمريكية,+1,جزر فرجين الامريكيه
VN,فيتنام,+84,فيتنام
VU,فانواتو,+678,فانواتو
WF,جزر والس وفوتونا,+681,جزر والس وفوتونا
WS,ساموا,+685,ساموا
XK,كوسوفو,+383,كوسوفو
YE,اليمن,+967,اليمن
YT,مايوت,+262,مايوت
ZA,جمهورية جنوب افريقيا,+27,جمهوريه جنوب افريقيا
ZM,زامبيا,+260,زامبيا
ZW,زيمبابوي,+263,زيمبابوي
